bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
15,15091,2,0,0,2,32,31,2020-06-13 12:15:00
16,16051,2,0,0,2,44,52,2020-06-13 12:15:00
16,16052,1,3,1,1,12,34,2020-06-13 12:15:00
16,16053,1,1,1,1,21,94,2020-06-13 12:15:00
16,16054,1,0,0,1,12,10,2020-06-13 12:15:00
16,16055,1,0,0,1,2,12,2020-06-13 12:15:00
16,16056,1,0,0,1,16,28,2020-06-13 12:15:00
16,16061,3,1,1,3,9,21,2020-06-13 12:15:00
16,16062,3,3,0,3,41,40,2020-06-13 12:15:00
16,16063,3,0,0,3,17,68,2020-06-13 12:15:00
16,16064,3,1,0,3,47,26,2020-06-13 12:15:00
16,16065,1,0,0,1,10,5,2020-06-13 12:15:00
16,16066,2,0,0,2,14,34,2020-06-13 12:15:00
16,16067,2,0,0,2,11,30,2020-06-13 12:15:00
16,16068,1,0,0,1,4,10,2020-06-13 12:15:00
16,16069,1,1,1,1,3,4,2020-06-13 12:15:00
16,16070,2,0,0,2,9,7,2020-06-13 12:15:00
16,16071,3,0,0,3,50,77,2020-06-13 12:15:00
16,16072,1,0,0,1,3,5,2020-06-13 12:15:00
16,16073,1,0,0,1,10,12,2020-06-13 12:15:00
16,16074,1,0,0,1,7,9,2020-06-13 12:15:00
16,16075,1,0,0,1,4,0,2020-06-13 12:15:00
16,16076,1,2,2,1,1,11,2020-06-13 12:15:00
16,16077,2,0,0,1,29,29,2020-06-13 12:15:00
